Event_ID,Event_Name,Event_Category,Start_Date,End_Date,Lead_Months,Lag_Months,Primary_Chokepoint,Secondary_Region,Description_Effects
EVT_001,COVID-19 Global Shock,Systemic Global,2020-01-01,2020-06-30,-1,6,Global,Global,Global demand collapse followed by container shortages and port congestion.
EVT_002,Ever Given Suez Blockage,Physical Chokepoint,2021-03-23,2021-03-29,-1,3,Suez Canal,Cape of Good Hope,~400 ships delayed; billions in trade affected; forced diversion around Africa.
EVT_003,Russia-Ukraine War Shock,Geopolitical,2022-02-24,Ongoing,-1,6,Black Sea,Turkish Straits,Grain shipment disruption; energy trade realignment; sanctions on Russian exports.
EVT_004,Panama Canal Drought,Physical Chokepoint,2023-05-01,Ongoing,-1,6,Panama Canal,Trans-Pacific,Low water forced transit restrictions; reduced capacity; higher freight costs.
EVT_005,Red Sea Attacks (Houthi),Geopolitical,2023-11-19,Ongoing,-1,6,Bab el-Mandeb,Suez Canal,Attacks caused Asia-Europe route disruptions and diversions around Africa.
EVT_006,Strait of Hormuz Escalation,Geopolitical,2024-04-01,2024-12-31,-1,6,Strait of Hormuz,Middle East,Geopolitical tensions disrupted shipping and energy flows; oil price spikes.
EVT_007,Israel-Iran Confrontation,Geopolitical,2025-06-13,2025-06-25,-1,1,Strait of Hormuz,Middle East,Brief military exchange and Iranian threats; caused short-term oil price volatility and insurance premiums to rise before de-escalation.
EVT_008,2026 Strait of Hormuz Crisis (US-Israel-Iran War),Geopolitical,2026-02-28,Ongoing,-1,6,Strait of Hormuz,Gulf of Oman,Joint strikes on Iran triggered IRGC attacks on commercial shipping; functional closure of the Strait causing massive global energy shock.
ECO_001,US-China Phase One Deal,Economic Policy,2020-01-15,2021-12-31,-3,6,US West Coast,Trans-Pacific,Commitments by China to purchase US agricultural and energy products.
ECO_002,EU CBAM Transitional Phase,Economic Policy,2023-10-01,Ongoing,-3,6,EU Ports,Global,Carbon Border Adjustment Mechanism forced European importers to report emissions; trade shifted to low-carbon partners.
ECO_003,US Sec 301 Tariff Continuations,Economic Policy,2024-05-14,Ongoing,-3,6,US Ports,Trans-Pacific,"Significant tariffs on Chinese EVs, steel, and semiconductors; caused massive front-loading of imports."
ECO_004,US East Coast Port Strike,Economic Policy,2024-10-01,2024-10-03,-3,3,US East Coast,US Gulf Coast,Strike by longshoremen suspended until Jan 2025; caused massive diversions to West Coast ports and air freight.
PHY_001,Baltimore Bridge Collapse,Physical Chokepoint,2024-03-26,2024-06-10,0,3,US East Coast,Port of Baltimore,Severed access to a major US East Coast port; diverted bulk coal and automotive cargo for months.
EVT_014,Tianjin Port Explosions,Physical Port Disruption,2015-08-12,2015-09-30,0,2,Bohai Rim Ports,North China,"Explosions at Tianjin disrupted hazardous cargo handling, tanker operations, and North China port logistics. Relevant to China trade with EU, USA, Japan, Korea, and major commodity partners."
EVT_015,Hanjin Shipping Bankruptcy Shock,Shipping Network Failure,2016-08-31,2016-10-31,0,3,Global Container Network,Trans-Pacific and Asia-Europe,"Hanjin filed for receivership, leaving vessels and containers stranded across major trade lanes. Useful as a concrete network shock for reporters exposed to containerised trade via Asia-Europe and Trans-Pacific routes."
EVT_016,Hurricane Harvey Gulf Port and Refining Disruption,Physical Port Disruption,2017-08-25,2017-09-08,0,2,US Gulf Coast,Port of Houston,"Hurricane Harvey shut or slowed major Texas ports and knocked out large volumes of refining capacity, disrupting petroleum, chemicals, grain, and container flows tied to the USA and its major trade partners."
ECO_005,US-China Tariff Escalation Begins,Economic Policy,2018-07-06,2019-12-31,-1,6,US West Coast,Trans-Pacific,"The first tranche of reciprocal US-China tariffs took effect, materially slowing and re-routing bilateral trade, especially across Pacific container corridors. Defensible for USA, China, EU spillovers, and agricultural or industrial trade shifts."
EVT_017,Rhine Low-Water Shipping Crisis,Inland Transport Disruption,2018-07-01,2018-12-31,0,3,Rhine River,Germany and Northwest Europe,"Drought-driven low water forced Rhine barges to sail partially loaded, raising freight costs and slowing coal, chemicals, grains, and oil product movements into the European industrial core."
EVT_018,Druzhba Pipeline Contamination,Energy Transport Disruption,2019-04-19,2019-05-31,0,2,Druzhba Pipeline,Central and Eastern Europe,Contaminated Russian crude halted Druzhba flows into parts of Europe and forced refiners to seek alternative supply. Relevant to reporters and partners exposed to European energy trade and substitution effects.
EVT_019,Yantian Port COVID Congestion,Physical Port Disruption,2021-05-25,2021-06-24,0,2,Yantian Port,South China,"COVID controls at Yantian caused severe export backlogs and vessel queues, disrupting China-Europe and Trans-Pacific container flows. Highly relevant to China, USA, EU reporters and their manufacturing trade partners."
EVT_020,Ningbo Meishan Terminal Closure,Physical Port Disruption,2021-08-11,2021-08-25,0,2,Ningbo-Zhoushan Port,East China,"Closure of Meishan terminal after a COVID case intensified congestion and diversions across one of the world’s largest ports, slowing East Asia-Europe and Trans-Pacific cargo movement."
EVT_021,Shanghai Lockdown Supply Chain Shock,Physical Port Disruption,2022-03-28,2022-05-31,0,3,Shanghai Port,Yangtze Delta,"Shanghai COVID lockdowns clogged trucking, warehousing, factory output, and port logistics, slowing goods flows across China-linked global supply chains."
EVT_022,Ukraine Port Suspension and Black Sea Blockade,Geopolitical,2022-02-24,2022-07-21,0,4,Black Sea,Ukrainian Ports,"Ukraine suspended commercial shipping at its ports after Russia invaded, halting major grain and oilseed exports and hitting Black Sea trade routes relevant to Europe, Turkey, Egypt, and global food importers."
EVT_023,Black Sea Grain Deal Expiry,Geopolitical,2023-07-17,2023-09-30,0,3,Black Sea,Turkish Straits,"Russia withdrew from the grain corridor, removing safe-passage guarantees for ships from Ukrainian ports and renewing trade friction across Black Sea agricultural routes."
