Event_ID,Event_Name,Event_Category,Start_Date,End_Date,Lead_Months,Lag_Months,Primary_Chokepoint,Secondary_Region,Description_Effects
EVT_001,COVID-19 Global Shock,Systemic Global,2020-01-01,2020-06-30,-1,6,Global,Global,"Global demand collapse followed by container shortages and port congestion."
EVT_002,Ever Given Suez Blockage,Physical Chokepoint,2021-03-23,2021-03-29,-1,3,Suez Canal,Cape of Good Hope,"~400 ships delayed; billions in trade affected; forced diversion around Africa."
EVT_003,Russia-Ukraine War Shock,Geopolitical,2022-02-24,Ongoing,-1,6,Black Sea,Turkish Straits,"Grain shipment disruption; energy trade realignment; sanctions on Russian exports."
EVT_004,Panama Canal Drought,Physical Chokepoint,2023-05-01,Ongoing,-1,6,Panama Canal,Trans-Pacific,"Low water forced transit restrictions; reduced capacity; higher freight costs."
EVT_005,Red Sea Attacks (Houthi),Geopolitical,2023-11-19,Ongoing,-1,6,Bab el-Mandeb,Suez Canal,"Attacks caused Asia-Europe route disruptions and diversions around Africa."
EVT_006,Strait of Hormuz Escalation,Geopolitical,2024-04-01,2024-12-31,-1,6,Strait of Hormuz,Middle East,"Geopolitical tensions disrupted shipping and energy flows; oil price spikes."
EVT_007,Israel-Iran Confrontation,Geopolitical,2025-06-13,2025-06-25,-1,1,Strait of Hormuz,Middle East,"Brief military exchange and Iranian threats; caused short-term oil price volatility and insurance premiums to rise before de-escalation."
EVT_008,2026 Strait of Hormuz Crisis (US-Israel-Iran War),Geopolitical,2026-02-28,Ongoing,-1,6,Strait of Hormuz,Gulf of Oman,"Joint strikes on Iran triggered IRGC attacks on commercial shipping; functional closure of the Strait causing massive global energy shock."
ECO_001,US-China Phase One Deal,Economic Policy,2020-01-15,2021-12-31,-3,6,US West Coast,Trans-Pacific,"Commitments by China to purchase US agricultural and energy products."
ECO_002,EU CBAM Transitional Phase,Economic Policy,2023-10-01,Ongoing,-3,6,EU Ports,Global,"Carbon Border Adjustment Mechanism forced European importers to report emissions; trade shifted to low-carbon partners."
ECO_003,US Sec 301 Tariff Continuations,Economic Policy,2024-05-14,Ongoing,-3,6,US Ports,Trans-Pacific,"Significant tariffs on Chinese EVs, steel, and semiconductors; caused massive front-loading of imports."
ECO_004,US East Coast Port Strike,Economic Policy,2024-10-01,2024-10-03,-3,3,US East Coast,US Gulf Coast,"Strike by longshoremen suspended until Jan 2025; caused massive diversions to West Coast ports and air freight."
PHY_001,Baltimore Bridge Collapse,Physical Chokepoint,2024-03-26,2024-06-10,0,3,US East Coast,Port of Baltimore,"Severed access to a major US East Coast port; diverted bulk coal and automotive cargo for months."
